query_id,query,expected_omics_type,expected_constraints,pool_id,accession,source,reported_omics_type,title,description,organism,sample_count,disease,tissue,source_url,annotator_label,annotator_notes
G04,breast cancer whole genome sequencing,genomics,disease=breast cancer; assay=WGS,efe87f164368308e,MTBLS7808,metabolights_dataset,Metabolomics,"Mechanisms of hepatic steatosis in chickens: integrated analysis of the host genome, molecular phenomes and gut microbiome","<p>Hepatic steatosis is the initial manifestation of abnormal liver functions and often leads to liver diseases such as non-alcoholic fatty liver disease in humans and fatty liver syndrome in animals. In this study, we conducted a comprehensive analysis of a large chicken population consisting of 705 adult hens by combining host genome resequencing, liver transcriptome, proteome and metabolome analysis, as well as microbial 16S rRNA gene sequencing of each gut segment. The results showed the heritability (h2 = 0.25) and duodenal microbiability (m2 = 0.26) of hepatic steatosis were relatively high, indicating a large effect of host genetics and duodenal microbiota on chicken hepatic steatosis. Individuals with hepatic steatosis had low microbiota diversity and a decreased genetic potential to process triglyceride output from hepatocytes, fatty acid β-oxidation activity and resistance to fatty acid peroxidation. Furthermore, we revealed a molecular network linking host genomic variants (GGA6: 5.59-5.69 Mb), hepatic gene/protein expression (PEMT, phosphatidyl-ethanolamine N-methyltransferase), metabolite abundances (folate, S-adenosylmethionine, homocysteine, phosphatidyl-ethanolamine and phosphatidylcholine) and duodenal microbes (genus Lactobacillus) to hepatic steatosis, which could provide new insights into the regulatory mechanism of fatty liver development.</p>",,,,,https://www.omicsdi.org/dataset/metabolights_dataset/MTBLS7808,0,not relevant
MO09,pediatric brain tumor multi-omics,multi_omics,disease=pediatric brain tumor; omics=multi-omics,5d9105d41234feb7,PDC000430,cptac,proteomics,Broad Institute - Medulloblastoma - Acetylome,Other;Pediatric/AYA Brain Tumors acetylome using TMT10 from Broad Institute proteomics study,Homo sapiens,46,Other;Pediatric/AYA Brain Tumors,Brain;Not Applicable,https://pdc.cancer.gov/pdc/study/PDC000430,1,"correct topic, wrong omics"
EPI01,H3K27ac enhancer ChIP-seq breast cancer,epigenomics,disease=breast cancer; mark=H3K27ac; assay=ChIP-seq,b178311b8144ec7a,E-GEOD-64483,biostudies-arrayexpress,Genomics,Enhancer-bound LDB1 Regulates a Corticotrope Promoter Pausing Repression Program [ChIP-seq],"Substantial evidence supports the hypothesis that enhancers are critical regulators of cell type determination, orchestrating both positive and negative transcriptional programs; however, the basic mechanisms by which enhancers orchestrate interactions with cognate promoters during activation and repression events remain incompletely understood. Here we report the required actions of the LIM domain binding protein, LDB1/CLIM2/NLI, interacting with the enhancer binding protein, ASCL1, to mediate looping to target gene promoters and target gene regulation in corticotrope cells. LDB1-mediated enhancer:promoter looping appears to be required for both activation and repression of these target target gene promoter genes. While LDB1-dependend activated genes are regulated at the level of transcriptional initiation, the LDB1-dependent repressed transcription units appear to be regulated primarily at the level of promoter pausing, with LDB1 regulating recruitment of MTA2, a component of the NuRD complex, on these negative enhancers, required for the repressive enhancer function. These results indicate that LDB1-dependent looping events can deliver repressive cargo to cognate promoters to mediate promoter pausing events in a pituitary cell type. ChIP assay followed by high throughput sequencing (ChIP-seq)",Mus musculus,,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-GEOD-64483,1,missing disease
T02,psoriasis skin lesion transcriptome,transcriptomics,disease=psoriasis; tissue=skin lesion; omics=transcriptomics,e2677dc227fa7071,GSE248121,geo,single_cell,The Characteristics of cell in Psoriatic Resolved Lesions Revealed and Onsite Recurrent by Single-cell Transcriptome,"Skin biopsy from the previously resolved region (PN), the autologous on-site recurrence with psoriatic plaque (PP)and the non-lesion control (CN) were obtained from the lower back of four male plaque psoriasis patients. Single-cell RNA sequencing (scRNA-seq) was performed after cell dissociation. In our article, sub-clustering and characterization of T cells were demonstrated, functional comparisons of T-cell subsets were conducted further among PN, PP and CN.",Homo sapiens,11,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE248121,1,missing tissue
G03,epilepsy trio whole exome sequencing,genomics,disease=epilepsy; assay=WES; design=trio,acd76081903d1236,S-EPMC11555314,biostudies-literature,Unknown,Trio-whole exome sequencing reveals the importance of de novo variants in children with intellectual disability and developmental delay.,,,,,,https://www.omicsdi.org/dataset/biostudies-literature/S-EPMC11555314,2,
MG06,marine plankton metagenomics,metagenomics,biome=marine; organism=plankton; omics=metagenomics,2067ccfa91fe6268,MGYS00004023,mgnify,metagenomics,marine plankton metagenome Raw sequence reads,To understand the succession of phytoplankton-associated bacteria in correlation with phytoplankton bloom,,11,,,https://www.ebi.ac.uk/metagenomics/studies/MGYS00004023,2,
EPI02,ATAC-seq glioblastoma tumor,epigenomics,disease=glioblastoma; assay=ATAC-seq,76e5c7f1cd2ece89,PRJNA573085,project,Genomics,Endocan-PDGFRα mediated signaling drives glioblastoma spatial heterogeneity and influences tumor vasculature/radioresistance [ATAC-seq],Endocan-PDGFRα mediated signaling drives glioblastoma spatial heterogeneity and influences tumor vasculature/radioresistance [ATAC-seq],,,,,https://www.omicsdi.org/dataset/project/PRJNA573085,2,
S05,pancreatic islet single-cell diabetes,single_cell,disease=diabetes; tissue=islet; assay=single-cell,50a56f269ddcac7d,3a5dbf8a-9b3e-4309-b4c5-d8a024f83734,cellxgene,single_cell,Bronchopulmonary Dysplasia,"Bronchopulmonary dysplasia (BPD) is a chronic lung disease characterized by alveolar dysplasia in newborns that are typically born prematurely. In this study, single-nucleus RNA-Sequencing was performed on BDPD infants (n=15) and age matched controls (n=8) who died from complications associated with BPD (4 months to 3 years of age).",Homo sapiens,0,,,https://cellxgene.cziscience.com/collections/3a5dbf8a-9b3e-4309-b4c5-d8a024f83734,0,not relevant
M02,obesity serum lipidomics,metabolomics,disease=obesity; material=serum; omics=lipidomics,3048f5c52d796c04,MTBLS17,metabolights,metabolomics,Utilization of metabolomics to identify serum biomarkers for hepatocellular carcinoma in patients with liver cirrhosis,"Characterizing the metabolic changes pertaining to hepatocellular carcinoma (HCC) in patients with liver cirrhosis is believed to contribute towards early detection, treatment, and understanding of the molecular mechanisms of HCC. In this study, we compare metabolite levels in sera of 78 HCC cases with 184 cirrhotic controls by using ultra performance liquid chromatography coupled with a hybrid quadrupole time-of-flight mass spectrometry (UPLC-QTOF MS). Following data preprocessing, the most relevant ions in distinguishing HCC cases from patients with cirrhosis are selected by parametric and non-parametric statistical methods. Putative metabolite identifications for these ions are obtained through mass-based database search. Verification of the identities of selected metabolites is conducted by comparing their MS/MS fragmentation patterns and retention time with those from authentic compounds. Quantitation of these metabolites is performed in a subset of the serum samples (10 HCC and 10 cirrhosis) using isotope dilution by selected reaction monitoring (SRM) on triple quadrupole linear ion trap (QqQLIT) and triple quadrupole (QqQ) mass spectrometers. The results of this analysis confirm that metabolites involved in sphingolipid metabolism and phospholipid catabolism such as sphingosine-1-phosphate (S-1-P) and lysophosphatidylcholine (lysoPC 17:0) are up-regulated in sera of HCC vs. those with liver cirrhosis. Down-regulated metabolites include those involved in bile acid biosynthesis (specifically cholesterol metabolism) such as glycochenodeoxycholic acid 3-sulfate (3-sulfo-GCDCA), glycocholic acid (GCA), glycodeoxycholic acid (GDCA), taurocholic acid (TCA), and taurochenodeoxycholate (TCDCA). These results provide useful insights into HCC biomarker discovery utilizing metabolomics as an efficient and cost-effective platform. Our work shows that metabolomic profiling is a promising tool to identify candidate metabolic biomarkers for early detection of HCC cases in hi",,0,,,https://www.ebi.ac.uk/metabolights/MTBLS17,0,not relevant
G09,prostate cancer genomics TCGA,genomics,disease=prostate cancer; source=TCGA; omics=genomics,e50057ef6fb46f5f,PRJNA1047253,ena,epigenomics,Epigenomics of Prostate Cancer from Cell Free Plasma,"We sought to perform epigenomic characterization of prostate cancers by profiling circulating nucleosomes isolated from patient plasma using cell free chromatin immunoprecipitation followed by sequencing (cfChIP-seq). Our major findings include identification of prostate-cancer specific regulatory elements using a novel statistical method accounting for variable tumor DNA fraction in plasma, inferring transcription factor activity based on binding motif enrichment within regulatory elements, and epigenetically phenotyping patients based on clinical and genomic features. Data available in dbGaP will include cfChIP-seq and targeted sequencing from approximately 50 patients with a known diagnosis of cancer and healthy patient controls.",Homo sapiens,0,,,https://www.ebi.ac.uk/ena/browser/view/PRJNA1047253,1,missing source
G10,congenital heart disease exome sequencing,genomics,disease=congenital heart disease; assay=WES,c04e46f9da18f884,PRJNA498751,ena,genomics,NHLBI TOPMed: Pediatric Cardiac Genomics Consortium (PCGC)'s Congenital Heart Disease Biobank,"The Pediatric Cardiovascular Genetics Consortium (PCGC) proposes to define genetic causes for congenital heart defects (CHD) as part of the TOPMed Program are the most common form of heart disease in childhood and are also the most prevalent form of birth defects, occurring in 2-3% of live births. The PCGC has recruited and clinically characterized = 10,000 CHD probands and parents (CHD trios). From whole exome sequencing (WES) of >2800 CHD trios, we identified a substantial enrichment of damaging de novo mutations in genes important for cardiogenesis, particularly implicating histone modifier enzyme gene defects. Analysis of whole genome sequencing (WGS) of 350 probands with CHD unexplained by WES and their parents preliminarily implicated de novo mutations in enhancers of genes... (for more see dbGaP study page.)",Homo sapiens,0,,,https://www.ebi.ac.uk/ena/browser/view/PRJNA498751,2,
MO07,sepsis transcriptome proteome multi-omics,multi_omics,disease=sepsis; modalities=transcriptome and proteome,81218ceb66e700a5,PXD025800,pride,Proteomics,Integrative multi-omics analysis in sepsis-associated liver dysfunction,"we conducted integrative multiple levels of omics data including transcriptome, phosphoproteome, proteome and metabolome in different time-course of sepsis-associated liver dysfunction (SALD). This is the first trial to suggest the statistical pathway of integrative multi-omics data in sepsis. Given the increasing number of studies collecting multi-omics data but limited overview of the methodological framework for integrative analyses (Liu, Ding et al. 2013, Petersen, Zeilinger et al. 2014, Shah, Bonder et al. 2015), integrative approach in sepsis with liver dysfunction in this study will provide novel insights into the development of sepsis and ultimately offer new tools for overcoming the present diagnostic limitation. Therefore, a combined multi-omics dataset will give better accessibility of adoption in disease, and insight to identify the promising candidates for therapeutic strategies.",Mus musculus (Mouse),,,,https://www.omicsdi.org/dataset/pride/PXD025800,2,
S05,pancreatic islet single-cell diabetes,single_cell,disease=diabetes; tissue=islet; assay=single-cell,7481ee47330dbedb,E-MTAB-5061,biostudies-arrayexpress,Transcriptomics,Single-cell RNA-seq analysis of human pancreas from healthy individuals and type 2 diabetes patients,"We used single-cell RNA-sequencing to generate transcriptional profiles of endocrine and exocrine cell types of the human pancreas. Pancreatic tissue and islets were obtained from six healthy and four T2D cadaveric donors. Islets were cultured and dissociated into single-cell suspension. Viable individual cells were distributed via fluorescence-activated cell sorted (FACS) into 384-well plates containing lysis buffer. Single-cell cDNA libraries were generated using the Smart-seq2 protocol. Gene expression was quantified as reads per kilobase transcript and per million mapped reads (RPKM) using rpkmforgenes. Bioinformatics analysis was used to classify cells into cell types without knowledge of cell types or prior purification of cell populations. We revealed subpopulations in endocrine and exocrine cell types, identified genes with interesting correlations to body mass index (BMI) in specific cell types and found transcriptional alterations in T2D.  Complementary whole-islet RNA-seq data have also been deposited at ArrayExpress under accession number E-MTAB-5060 (http://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5060).",Homo sapiens,,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-MTAB-5061,2,
P01,Alzheimer cerebrospinal fluid proteomics,proteomics,disease=Alzheimer disease; material=CSF; omics=proteomics,f8d941e383640c7e,PDC000552,cptac,proteomics,CPTAC GBM Discovery Study - Metabolome,Glioblastoma;Other metabolome using Label Free from Clinical Proteomic Tumor Analysis Consortium proteomics study,Homo sapiens,83,Glioblastoma;Other,Brain,https://pdc.cancer.gov/pdc/study/PDC000552,1,missing disease
G09,prostate cancer genomics TCGA,genomics,disease=prostate cancer; source=TCGA; omics=genomics,059a38afe20409b2,PRJDB12948,ena,transcriptomics,Comprehensive genomics in androgen receptor-dependent castration-resistant prostate cancer using a patient-derived xenograft and cell lines,"Castration resistance is a lethal form of treatment failure of prostate cancer (PCa) and is associated with activation of the androgen receptor (AR). It is only partially understood how the AR mediates survival and castration-resistant growth of PCa upon androgen deprivation. We investigated integrative genomics (including gene expression and ARBS profiling) using a patient-derived xenograft (PDX) model recapitulating acquired, AR-dependent castration-resistant PCa (CRPC). Sequencing of chromatin immunoprecipitation using an anti-AR antibody (AR ChIP-seq) revealed distinct profiles of AR binding site (ARBS) in androgen-dependent (AD) and castration-resistant (CR) xenograft tumors compared with those previously reported based on human PCa cells or tumor tissues. To search candidate genes for a therapeutic target in CRPC, we combined RNA-seq analysis using PDX AD and CR tumors with the results from AR ChIP seq. This analysis identified several AR-target genes associated with CRPC progression including OPRK1, which harbors ARBS and was upregulated upon androgen deprivation.",Homo sapiens,0,,,https://www.ebi.ac.uk/ena/browser/view/PRJDB12948,2,
MG06,marine plankton metagenomics,metagenomics,biome=marine; organism=plankton; omics=metagenomics,b1c89f70202402fa,MGYS00004126,mgnify,metagenomics,A metagenetic approach for revealing community structure of marine planktonic copepods,"Marine planktonic copepods are an ecologically important group with high species richness and abundance. Here, we propose a new metagenetic approach for revealing the community structure of marine planktonic copepods using 454 pyrosequencing of nuclear large subunit ribosomal DNA. We developed a method for clustering pyrosequencing data into molecular operational taxonomic units (MOTUs) through analysis of an artificial copepod community containing 33 morphologically identified species. The 99% similarity threshold had high species-level resolution for MOTU clustering but overestimated species richness. The artificial community was appropriately clustered into MOTUs at 97% similarity, with little inflation in MOTU numbers and with relatively high species-level resolution. The number of sequence reads per MOTU was correlated with dry weight of that taxon, suggesting that sequence reads could be used as a proxy for biomass. Next, we applied the method to field-collected samples, and the results corresponded reasonably well with morphological analysis of these communities. Numbers of MOTUs were well correlated with species richness at 97% similarity, and large numbers of sequence reads were generally observed in MOTUs derived from species with large biomass. MOTUs were successfully classified at the family level at 97% similarity; similar patterns of species richness and biomass within families were revealed with metagenetic and morphological analyses. At the 99% similarity threshold, MOTUs with high proportions of sequence reads were identified as biomass-dominant species in each field-collected sample. The metagenetic approach reported here can be an effective tool for rapid and comprehensive assessment of copepod community structure.",,1,,,https://www.ebi.ac.uk/metagenomics/studies/MGYS00004126,1,missing organism
M09,NAFLD liver metabolomics,metabolomics,disease=NAFLD; tissue=liver; omics=metabolomics,a156adbfb384ad57,MTBLS140,metabolights,metabolomics,Metabolome analysis via an HPLC-ESI-MS-based experimental and computational pipeline for chronic nephron toxicity profiling,"Untargeted metabolomics has the potential to improve the predictivity of in vitro toxicity models and therefore may aid the reduction of expensive and laborious animal models. Here we describe a chronic nephrotoxicity study conducted on a human renal proximal tubular epithelial cell line (RPTEC/TERT1) treated with low (10 µM) and high (35 µM) concentrations of chloroacetaldehyde (CAA) – a known nephrotoxic compound. The presented toxicity study followed two major strategies; the first was to establish an automated and easy to use untargeted metabolomics workflow for HPLC-MS data and second to find time- and dose dependent toxicant-induced cell responses at the metabolite level. The metabolomic changes were integrated with transcriptomics and proteomics data to obtain a more comprehensive picture of the mode of action. Automated data analysis workflows based on open-source software (OpenMS and KNIME) enable a comprehensive and reproducible analysis of the complex and voluminous metabolomics data produced by the profiling approach. For toxicity profiling of CAA, 428 and 317 metabolite features were detectable in positive and negative mode, respectively, after removal of chemical noise and unstable signals. Changes upon treatment were visually explored using principal component analysis and statistically significant differences identified using linear models (LIMMA). The analysis revealed toxic effects only for the high concentration treatment for day 3 and day 14. The most regulated metabolites were glutathione and metabolites related to the oxidative stress response of the cells. These findings are corroborated by proteomics and transcriptomics data, which show, amongst others, an activation of the Nrf2 pathway.",,0,,,https://www.ebi.ac.uk/metabolights/MTBLS140,1,missing disease
MO04,lung cancer proteogenomics CPTAC,multi_omics,disease=lung cancer; source=CPTAC; omics=proteogenomics,61c14602410c56db,PDC000640,cptac,proteomics,CPTAC-KF-CCDI-Pediatric T-ALL Study - Proteome,Acute Lymphoblastic Leukemia;Other proteome using TMT18 from CPTAC-Kids First-Childhood Cancer Data Initiative proteomics study,Homo sapiens,114,Acute Lymphoblastic Leukemia;Other,Blood;Bone Marrow;Not Reported,https://pdc.cancer.gov/pdc/study/PDC000640,0,not relevant
G04,breast cancer whole genome sequencing,genomics,disease=breast cancer; assay=WGS,9ef17c91f3d19276,TCGA-BRCA,gdc,multi_omics,Breast Invasive Carcinoma,"Disease: Adnexal and Skin Appendage Neoplasms, Adenomas and Adenocarcinomas, Ductal and Lobular Neoplasms, Cystic, Mucinous and Serous Neoplasms, Complex Epithelial Neoplasms, Fibroepithelial Neoplasms, Squamous Cell Neoplasms, Epithelial Neoplasms, NOS, Basal Cell Neoplasms. Primary site: Breast",Homo sapiens,0,,,https://portal.gdc.cancer.gov/projects/TCGA-BRCA,1,"correct topic, wrong omics"
G01,rare disease whole genome sequencing,genomics,disease=rare disease; assay=WGS,322fc840e7579ed7,E-MTAB-3549,biostudies-arrayexpress,Genomics,Population-based whole-genome bisulfite sequencing in multiple human tissues,Analysis of human population methylome variation in adipose tissue and whole blood at single-site resolution by whole genome bisulfite sequencing.,Homo sapiens,,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-MTAB-3549,1,missing disease
P01,Alzheimer cerebrospinal fluid proteomics,proteomics,disease=Alzheimer disease; material=CSF; omics=proteomics,8cc1983a5bd46681,PDC000633,cptac,proteomics,IPMN Study - Cyst Fluid Glycoproteome,"Cystic, Mucinous and Serous Neoplasms glycoproteome using Label Free from Clinical Proteomic Tumor Analysis Consortium proteomics study",Homo sapiens,32,"Cystic, Mucinous and Serous Neoplasms",Pancreas,https://pdc.cancer.gov/pdc/study/PDC000633,1,missing disease
S07,placenta preeclampsia single-cell transcriptomics,single_cell,disease=preeclampsia; tissue=placenta; assay=single-cell,e7f33cc448a3398f,E-MTAB-7304,biostudies-arrayexpress,Transcriptomics,Reconstructing the human first trimester fetal-maternal interface using single cell transcriptomics - whole genome sequencing,"To explore the interactions between the range of maternal and fetal placental cell types present, we profiled the transcriptomes of more than 50,000 single cells from matched first trimester samples of maternal blood and decidua, as well as fetal cells from the placenta itself. Demuxlet was used to discern between cells of fetal and maternal origin, from SNPs inferred from genotyping.",Homo sapiens,,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-MTAB-7304,1,missing disease
P10,pancreatic cancer secretome proteomics,proteomics,disease=pancreatic cancer; assay=secretome; omics=proteomics,90a0dd27d1611566,PDC000249,cptac,proteomics,KU PDAC Discovery Study - Phosphoproteome,Pancreatic Ductal Adenocarcinoma phosphoproteome using TMT10 from International Cancer Proteogenome Consortium proteomics study,Homo sapiens,154,Pancreatic Ductal Adenocarcinoma,Pancreas,https://pdc.cancer.gov/pdc/study/PDC000249,1,missing assay
