query_id,query,expected_omics_type,rank,dataset_id,accession,source,reported_omics_type,title,description,organism,sample_count,disease,tissue,relevance_score,quality_score,source_url,annotator_label,annotator_notes
E02,RNA-seq breast cancer tumor normal,transcriptomics,1,geo:GSE237728,GSE237728,geo,transcriptomics,miRNA-seq and RNA-seq profiles of breast cancer cell lines,This SuperSeries is composed of the SubSeries listed below.,Homo sapiens,79,,,0.965,0.511,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE237728,2,
E02,RNA-seq breast cancer tumor normal,transcriptomics,2,ena:PRJNA678650,PRJNA678650,ena,genomics,"scRNA-seq profiling of breast cancer tumors, BRCA1 mutant pre-neoplastic mammary gland cells and normal mammary gland cells","This study presents a single cell transcriptome map of nearly 430,000 cells encompassing normal breast at different hormonal stages, preneoplastic BRCA1+/- tissue, the major clinical subtypes of breast cancer, and matching pairs of tumors and involved axillary lymph nodes. Comparison of normal tissue specimens according to menopausal status primarily revealed changes in the stroma. Although there were modest changes in the microenvironment of preneoplastic BRCA1+/- versus normal tissue, a profound increase in infiltrating immune cells and a concomitant decrease in fibroblasts accompanied the transition to neoplasia. Single cell profiling of 32 tumors representing treatment-naive ER+, HER2+, triple negative (TN) breast cancers revealed equivalent diversity between tumor cells across the subtypes, each comprising a broad cluster and a prominent subset of cycling cells. In the immune landscape of tumors, highly proliferative T cells characterize TN and HER2+ tumors, whereas cycling tumor-",Homo sapiens,0,,,0.934,0.384,https://www.ebi.ac.uk/ena/browser/view/PRJNA678650,2,
E02,RNA-seq breast cancer tumor normal,transcriptomics,3,ena:PRJNA227137,PRJNA227137,ena,transcriptomics,mRNA-sequencing of breast cancer subtypes and normal tissue,"Goal: To define the digital transcriptome of three breast cancer subtypes (TNBC, Non-TNBC, and HER2-positive) using RNA-sequencing technology. To elucidate differentially expressed known and novel transcripts, alternatively spliced genes and differential isoforms and lastly expressed variants in our dataset. Method: Dr. Suzanne Fuqua (Baylor College of Medicine) provided the human breast cancer tissue RNA samples. All of the human samples were used in accordance with the IRB procedures of Baylor College of Medicine. The breast tumour types, TNBC, Non-TNBC and HER2-positive, were classified on the basis of immunohistochemical and RT-qPCR classification. Results: Comparative transcriptomic analyses elucidated differentially expressed transcripts between the three breast cancer groups, identifying several new modulators of breast cancer. We discovered subtype specific differentially spliced genes and splice isoforms not previously recognized in human transcriptome. Further, we showed that",Homo sapiens,0,,,0.915,0.384,https://www.ebi.ac.uk/ena/browser/view/PRJNA227137,2,
E02,RNA-seq breast cancer tumor normal,transcriptomics,4,geo:GSE304485,GSE304485,geo,transcriptomics,Bulk RNA-Seq gene expression profiles from 13 TCGA cancer types and normal tissues for tumor classification,"This dataset includes bulk RNA-Seq gene expression profiles of 6310 samples from 13 cancer types and normal tissues, obtained from The Cancer Genome Atlas (TCGA) and processed using a standardized pipeline. The raw count matrix, initially containing 60,660 genes, was filtered to retain only valid ENTREZ gene identifiers matched via the org.Hs.eg.db annotation package. Genes with zero variance across samples were removed. Normalization was performed by transforming expression values into log2 Cou...",Homo sapiens,6310,,,0.914,0.611,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE304485,1,"multi-cancer TCGA RNA-seq, includes breast but not exclusively breast tumor/normal"
E02,RNA-seq breast cancer tumor normal,transcriptomics,5,ena:PRJNA449466,PRJNA449466,ena,transcriptomics,FRY Impacts Breast Cancer Malignancy by Inducing an Enrichment of Genes with Tumor-Suppressive Functions and Affecting EMT Potential of Breast Cancer Cells,"Breast cancer is a disease with diverse phenotypes, and while the progression of breast cancer from a localized lesion to metastatic disease is well understood clinically. Our previous study genetically linked the FRY gene with differential susceptibility to mammary carcinogenesis however, little is known about the mechanistic insights of FRY in mammalian cells and breast cancer progression. Through RNA-Seq analysis of series of constructed cell lines based on highly malignant triple-negative human breast cancer cells MDA-MB-231, we show that enhanced FRY induces massive changes in gene expression, which favor signalings and molecules with tumor-suppressive functions and engage in promoting cell differentiation, maintaining the normal and histopathological characteristics of epithelial cells, and in regulating EMT potential of breast cancer cells. As a result, the proliferation, migration and invasion potentials of breast cancer cells are significantly inhibited both in vitro and in xe",Homo sapiens,0,,,0.898,0.384,https://www.ebi.ac.uk/ena/browser/view/PRJNA449466,2,
E02,RNA-seq breast cancer tumor normal,transcriptomics,6,geo:GSE281303,GSE281303,geo,transcriptomics,Multimodal Genome-wide Survey of Progressing and Non-progressing Breast Ductal Carcinoma In-Situ [RNA-seq],"Background: Ductal carcinoma in-situ (DCIS) is a pre-invasive form of invasive breast cancer (IBC). Due to improved breast cancer screening, it now accounts for ~25% of all breast cancers. While the treatment success rates are over 90%, this comes at the cost of considerable morbidity, considering that the majority of DCIS never become invasive and our understanding of the molecular changes occurring in DCIS that predispose to invasive disease is limited. The aim of this study is to characterize...",Homo sapiens,123,,,0.897,0.611,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281303,2,
E02,RNA-seq breast cancer tumor normal,transcriptomics,7,ena:PRJNA752396,PRJNA752396,ena,transcriptomics,Molecular profiling of NAA25-deficient breast cancer cell line T47D,RNA-seq data after NAA25 knockdown,,0,,,0.887,0.273,https://www.ebi.ac.uk/ena/browser/view/PRJNA752396,1,"breast cancer cell line NAA25 KD RNA-seq, cell line not tumor/normal tissue"
E02,RNA-seq breast cancer tumor normal,transcriptomics,8,geo:GSE210787,GSE210787,geo,transcriptomics,Tumor-specific circRNAs elicit anti-tumor immune response via encoding cryptic peptides [RNA-Seq],"By using RNA-seq, we report mutation and lncRNA from breast cancer tissues and normal tissues.",Homo sapiens,12,,,0.884,0.431,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE210787,2,
E02,RNA-seq breast cancer tumor normal,transcriptomics,9,ena:PRJNA975550,PRJNA975550,ena,transcriptomics,Tumor circadian clock strength influences metastatic potential and predicts patient prognosis in Luminal A breast cancer,"To investigate circadian clocks in human breast tumors, 43 pairs of human samples (tumor and matched normal breast tissues from the same patient) were collected to run bulk-RNAseq, including 29 pairs of Luminal A, 3 pairs of Luminal B, 2 pairs of HER2 and 9 pairs of Triple-negative breast cancer Overall design: Differential genes expression levels and circadian clock time in human normal and paired tumor samples were analysed based on our RNAseq data",Homo sapiens,0,,,0.884,0.364,https://www.ebi.ac.uk/ena/browser/view/PRJNA975550,2,
E02,RNA-seq breast cancer tumor normal,transcriptomics,10,ena:PRJNA195576,PRJNA195576,ena,genomics,MicroRNA expression profile of breast cancer patients with adjacent normal control group.,To discriminate miRNA expression differences between adjacent normal and tumor tissues of breast cancer. Overall design: 101 breast tumor + 15 adjacent breast normal tissue samples.,Homo sapiens,0,,,0.884,0.344,https://www.ebi.ac.uk/ena/browser/view/PRJNA195576,1,"miRNA expression, not mRNA RNA-seq; adjacent normal and tumor breast"
E03,GTEx liver expression eQTL,transcriptomics,1,ena:PRJNA169674,PRJNA169674,ena,genomics,Identification of expression quantitative trait loci (eQTL) in human liver (SNP),We genotyped 149 human surgical liver samples from Caucasian donors with detailed medical documentation. The overall purpose of the study was to identify expression quantitative trait loci (eQTL) in human liver..... Overall design: 149 liver samples of Caucasian origin were included in the study on the analysis of RNA expression (Illumina Human_WG6_V2) and genotype (HumanHap_300_V2),Homo sapiens,0,,,0.896,0.364,https://www.ebi.ac.uk/ena/browser/view/PRJNA169674,2,
E03,GTEx liver expression eQTL,transcriptomics,2,ena:PRJNA147749,PRJNA147749,ena,genomics,Identification of expression quantitative trait loci (eQTL) in human liver,We performed genome-wide mRNA profiling of 149 human surgical liver samples from Caucasian donors with detailed medical documentation. The overall purpose of the study was to identify expression quantitative trait loci (eQTL) in human liver. Overall design: 149 liver samples of Caucasian origin were included in the study on the analysis of RNA expression (Illumina Human_WG6_V2) and genotype (HumanHap_300_V1),Homo sapiens,0,,,0.871,0.364,https://www.ebi.ac.uk/ena/browser/view/PRJNA147749,2,
E03,GTEx liver expression eQTL,transcriptomics,3,geo:GSE179250,GSE179250,geo,transcriptomics,A resource for integrated genomic analysis of the human liver,"In this study, we generated whole-transcriptome RNA-Seq from n=192 genotyped liver samples and used these data with existing data from the GTEx Project (RNA-Seq; PMID: 32913098) and previous liver eQTL (microarray; GSE32504, GSE25935, GSE9588, and GSE24293) studies to create an enhanced transcriptomic sequence resource in the human liver. Analyses of genotype-expression associations show pronounced enrichment of associations with genes of drug response. The associations are primarily consistent ...",Homo sapiens,192,,,0.869,0.611,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179250,2,
E03,GTEx liver expression eQTL,transcriptomics,4,ena:PRJNA742971,PRJNA742971,ena,transcriptomics,A resource for integrated genomic analysis of the human liver,"In this study, we generated whole-transcriptome RNA-Seq from n=192 genotyped liver samples and used these data with existing data from the GTEx Project (RNA-Seq PMID: 32913098) and previous liver eQTL (microarray GSE32504, GSE25935, GSE9588, and GSE24293) studies to create an enhanced transcriptomic sequence resource in the human liver. Analyses of genotype-expression associations show pronounced enrichment of associations with genes of drug response. The associations are primarily consistent across the two RNA-Seq datasets, with some modest variation, indicating the importance of obtaining multiple datasets to produce a robust resource. We further used an empirical Bayesian model to compare eQTL patterns in liver and an additional 20 GTEx tissues, finding that MHC genes, and especially class II genes, are enriched for liver-specific eQTL patterns. To illustrate the utility of the resource to augment GWAS analysis with small sample sizes, we developed a novel meta-analysis technique to",Homo sapiens,0,,,0.866,0.384,https://www.ebi.ac.uk/ena/browser/view/PRJNA742971,2,
E03,GTEx liver expression eQTL,transcriptomics,5,ena:PRJNA232972,PRJNA232972,ena,genomics,Mapping of Hepatic Expression Quantitative Trait Loci (eQTLs) in a Han Chinese Population [Expression analysis],"Elucidating the genetic basis underlying the variation in hepatic gene expression is of importance to understand disease etiology and drug metabolism variances. To date, no genome-wide eQTL analysis has been conducted in the Han Chinese, the largest ethnic group in the world. We performed a genome-wide eQTL mapping in a set of Han Chinese liver tissue (n=64). Overall design: Normal (non-diseased) liver tissues were previously collected from 64 Chinese donors who provided informed consent. All samples were stored frozen at -80℃ from collection until processing for RNA and DNA extraction. DNA /Total RNA of the human liver tissue samples were extracted by using the RNA/DNA Mini Kit (Qiagen, Hilden, Germany).each RNA sample were labeled and hybridized to the One-Color Agilent 60-mer Whole Human Genome Microarray (G4112F, GPL4133) at the Agilent Microarray Facility of Shanghai genomePilot Technology, Inc. The genome-wide scan was performed using the Affymetrix Genome-Wide Human SNP Array 6.",Homo sapiens,0,,,0.862,0.384,https://www.ebi.ac.uk/ena/browser/view/PRJNA232972,2,
E03,GTEx liver expression eQTL,transcriptomics,6,ena:PRJNA111745,PRJNA111745,ena,genomics,Liver gene expression in a panel of laboratory inbred mouse strains,"This study aimed to perform gene expression quantitative trait locus mapping (eQTL) in the livers of a panel of 36 laboratory inbred strains. Mice were dosed with a saline solution by oral gavage and sacrificed at 24 hours. Livers were removed at sacrifice, RNA was extracted and gene expression was assayed using the Agilent G4121A array. Keywords: eQTL, mouse, liver Overall design: 73 arrays were run on 36 laboratory inbred strains, with one to three arrays per strain.",Mus musculus,0,,,0.862,0.364,https://www.ebi.ac.uk/ena/browser/view/PRJNA111745,1,liver eQTL but mouse model not human/GTEx
E03,GTEx liver expression eQTL,transcriptomics,7,ena:PRJNA142513,PRJNA142513,ena,genomics,"Genetic identification, replication, and functional fine-mapping of expression quantitative trait loci in primary human liver tissue [Agilent]","Most loci identified in genome wide association studies (GWAS) of complex traits reside in non-coding DNA and may contribute to phenotype via changes in gene regulation. The discovery of expression quantitative trait loci (‘eQTLs’) can thus be used to more precisely identify modest but real disease associations and provide insights into their underlying molecular mechanisms. This is particularly true for analyses of expression in non-transformed cells from tissues relevant to the complex traits of interest. We have conducted two independent studies to identify genetic, including both SNPs and copy-number variants, and environmental determinants of human liver gene expression variation. We analyzed two sets of primary livers (primary dataset: n=220 replication dataset: n=60) using Agilent and Illumina expression arrays and Illumina SNP genotyping (550K). At least 30% of genetic and non-genetic factors that meet genome-wide significance (p <1 x10-9) in one study fail to replicate in the ",Homo sapiens,0,,,0.861,0.384,https://www.ebi.ac.uk/ena/browser/view/PRJNA142513,2,
E03,GTEx liver expression eQTL,transcriptomics,8,ena:PRJNA232973,PRJNA232973,ena,genomics,Mapping of hepatic expression quantitative trait loci (eQTLs) in a Han Chinese population [SNP analysis],"Elucidating the genetic basis underlying the variation in hepatic gene expression is of importance to understand disease etiology and drug metabolism variances. To date, no genome-wide eQTL analysis has been conducted in the Han Chinese, the largest ethnic group in the world. We performed a genome-wide eQTL mapping in a set of Han Chinese liver tissue (n=64). Overall design: Normal (non-diseased) liver tissues were previously collected from 64 Chinese donors who provided informed consent. All samples were stored frozen at -80℃ from collection until processing for RNA and DNA extraction. DNA /Total RNA of the human liver tissue samples were extracted by using the RNA/DNA Mini Kit (Qiagen, Hilden, Germany).each RNA sample were labeled and hybridized to the One-Color Agilent 60-mer Whole Human Genome Microarray (G4112F, GPL4133) at the Agilent Microarray Facility of Shanghai genomePilot Technology, Inc. The genome-wide scan was performed using the Affymetrix Genome-Wide Human SNP Array 6.",Homo sapiens,0,,,0.856,0.384,https://www.ebi.ac.uk/ena/browser/view/PRJNA232973,2,
E03,GTEx liver expression eQTL,transcriptomics,9,ena:PRJNA301938,PRJNA301938,ena,genomics,eQTL in HBV-related liver samples,31 non-tumor liver tissues from 31 HBV-related HCC patients Overall design: We performed correlation analyses between the SNPs genotypes and the mRNA expression levels to evaluate whether a SNP serves as an expression quantitative trait locus (eQTL) with putative cis regulatory effects on gene expression traits in liver tissues. The intensity of all gene array experiments were normalized together using the Robust Multiarray Averaging (RMA) method. This submission represents mRNA expression component of study.,Homo sapiens,0,,,0.852,0.384,https://www.ebi.ac.uk/ena/browser/view/PRJNA301938,2,
E03,GTEx liver expression eQTL,transcriptomics,10,ena:PRJNA140645,PRJNA140645,ena,genomics,"Genetic identification, replication, and functional fine-mapping of expression quantitative trait loci in primary human liver tissue [Illumina Expression Array]","Most loci identified in genome wide association studies (GWAS) of complex traits reside in non-coding DNA and may contribute to phenotype via changes in gene regulation. The discovery of expression quantitative trait loci (?eQTLs?) can thus be used to more precisely identify modest but real disease associations and provide insights into their underlying molecular mechanisms. This is particularly true for analyses of expression in non-transformed cells from tissues relevant to the complex traits of interest. We have conducted two independent studies to identify genetic, including both SNPs and copy-number variants, and environmental determinants of human liver gene expression variation. We analyzed two sets of primary livers (primary dataset: n=220 replication dataset: n=60) using Agilent and Illumina expression arrays and Illumina SNP genotyping (550K). At least 30% of genetic and non-genetic factors that meet genome-wide significance (p <1 x10-9) in one study fail to replicate in the ",Homo sapiens,0,,,0.852,0.384,https://www.ebi.ac.uk/ena/browser/view/PRJNA140645,2,
E04,spatial transcriptomics breast cancer,transcriptomics,1,geo:GSE214571,GSE214571,geo,transcriptomics,Spatial transcriptomics reveals functional compartmentalization of estrogen receptor positive (ER+) breast cancer,"Intratumor heterogeneity is one of the hallmarks of cancers, including breast cancers. We performed spatial transcriptomics to profile heterogeneous cell populations within ER+ breast cancers as well as to determine their importance for estrogen-dependent tumor growth. Our analysis has revealed the key functional compartments for developing targeted therapeutic strategies against ER+ breast cancers.",Homo sapiens,4,,,1.0,0.431,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214571,2,
E04,spatial transcriptomics breast cancer,transcriptomics,2,geo:GSE189042,GSE189042,geo,transcriptomics,Spatial transcriptome analysis reveals the lymph node atlas of breast cancer metastases,"To obtain more information about the lymph node metastasis of breast cancer cells, we performed spatial transcriptomics analysis of the positive lymph node (PL) with the 10× Genomics Visium platform, which allows characterization of the spatial topography of gene expression.",Homo sapiens,1,,,0.997,0.431,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189042,2,
E04,spatial transcriptomics breast cancer,transcriptomics,3,ena:PRJNA781243,PRJNA781243,ena,transcriptomics,Spatial transcriptome analysis reveals the lymph node atlas of breast cancer metastases,"To obtain more information about the lymph node metastasis of breast cancer cells, we performed spatial transcriptomics analysis of the positive lymph node (PL) with the 10× Genomics Visium platform, which allows characterization of the spatial topography of gene expression. Overall design: The positive lymph nodes (PL) were analysed with spatial transcriptome.",Homo sapiens,0,,,0.995,0.364,https://www.ebi.ac.uk/ena/browser/view/PRJNA781243,2,
E04,spatial transcriptomics breast cancer,transcriptomics,4,geo:GSE210616,GSE210616,geo,transcriptomics,Spatial transcriptomics of triple negative breast cancer,"Triple negative breast cancer (TNBC) is an aggressive and clinically challenging subtype of breast cancer. TNBC disporportionately affects African-American (AA) women, but the biological basis of this disparity is not understood. To gain a better understanding of TNBC, particularly in AA patients, we applied spatial transcriptomics to thoroughly characterize gene expression and tissue architecture in TNBC. Our cohort consisted of 22 patients, 15 of whom were AA, and 7 who were Caucasian. We obta...",Homo sapiens,43,,,0.991,0.531,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE210616,2,
E04,spatial transcriptomics breast cancer,transcriptomics,5,ena:PRJNA866496,PRJNA866496,ena,genomics,Spatial transcriptomics of triple negative breast cancer,"Triple negative breast cancer (TNBC) is an aggressive and clinically challenging subtype of breast cancer. TNBC disporportionately affects African-American (AA) women, but the biological basis of this disparity is not understood. To gain a better understanding of TNBC, particularly in AA patients, we applied spatial transcriptomics to thoroughly characterize gene expression and tissue architecture in TNBC. Our cohort consisted of 22 patients, 15 of whom were AA, and 7 who were Caucasian. We obtained 2 sections from each patient's tumor (except for patient 19) for a total of 43 samples. Overall design: 28 tissue sections representing 14 primary TNBC tumors were subject to spatial transcriptomics using the 10x Genomics Visium platform, followed by high throughput sequencing. Raw data not submitted due to patient privacy concerns.",Homo sapiens,0,,,0.991,0.384,https://www.ebi.ac.uk/ena/browser/view/PRJNA866496,2,
E04,spatial transcriptomics breast cancer,transcriptomics,6,ena:PRJNA906193,PRJNA906193,ena,genomics,Starfysh reveals heterogeneous spatial dynamics in the breast tumor microenvironment,"Integrative analysis of primary estrogen receptor-positive (ER+) breast cancer, triple-negative breast cancer (TNBC), and metaplastic breast cancer (MBC) tumors using Starfysh.  Overall design: spatial transcriptomics, 8 samples Submitter will deposit the raw data to dbGap based on the requirement of the R00 grant.",Homo sapiens,0,,,0.99,0.364,https://www.ebi.ac.uk/ena/browser/view/PRJNA906193,2,
E04,spatial transcriptomics breast cancer,transcriptomics,7,ena:PRJDB42031,PRJDB42031,ena,genomics,Spatial transcriptome data for the sample of triple-negative breast cancer with perineural invasion (PRJCA048374),This sample of triple-negative breast cancer includes spatial transcriptomics data generated by 10x Genomics Visium HD. The sample was collected from Fudan University Shanghai Cancer Center (FUSCC).,Homo sapiens,0,,,0.982,0.344,https://www.ebi.ac.uk/ena/browser/view/PRJDB42031,2,
E04,spatial transcriptomics breast cancer,transcriptomics,8,geo:GSE290924,GSE290924,geo,transcriptomics,Integrative spatially-resolved multi-omics analysis reveals metabolic evolution of the transition to invasive breast cancer,"Tumor metastasis is one of the primary causes of death among cancer patients, including those with breast cancer. We conducted a spatial transcriptomics study to analyze the progression of breast cancer from carcinoma in situ to invasive carcinoma, aiming to identify changes in genes, metabolic pathways, and cellular composition during this evolution. Our analysis revealed alterations in genes, metabolic pathways, and cellular composition during the transition from carcinoma in situ to invasive ...",Homo sapiens,6,,,0.979,0.491,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290924,2,
E04,spatial transcriptomics breast cancer,transcriptomics,9,ena:PRJNA1230891,PRJNA1230891,ena,genomics,Integrative spatially-resolved multi-omics analysis reveals metabolic evolution of the transition to invasive breast cancer,"Tumor metastasis is one of the primary causes of death among cancer patients, including those with breast cancer. We conducted a spatial transcriptomics study to analyze the progression of breast cancer from carcinoma in situ to invasive carcinoma, aiming to identify changes in genes, metabolic pathways, and cellular composition during this evolution. Our analysis revealed alterations in genes, metabolic pathways, and cellular composition during the transition from carcinoma in situ to invasive carcinoma, providing theoretical support for blocking breast cancer metastasis. Overall design: We performed spatial transcriptomic sequencing on frozen tissue sections from six breast cancer patients. Following dimensionality reduction and clustering, the clustering results were pathologically distinguished by a pathologist. Subsequently, analyses were conducted on the regions of carcinoma in situ and invasive carcinoma.",Homo sapiens,0,,,0.979,0.384,https://www.ebi.ac.uk/ena/browser/view/PRJNA1230891,2,
