query_id,query,expected_omics_type,expected_constraints,pool_id,accession,source,reported_omics_type,title,description,organism,sample_count,disease,tissue,source_url,annotator_A_label,annotator_B_label,annotator_C_label,majority_label,consensus_status,adjudicated_label,adjudication_notes
EPI02,ATAC-seq glioblastoma tumor,epigenomics,disease=glioblastoma; assay=ATAC-seq,6e02e5f84b6198bc,E-GEOD-67633,biostudies-arrayexpress,Genomics,Epigenetic determinants of self-renewal in glioblastoma,"We over-expressed an epigenetic regulator in a glioblastoma (GBM) primary culture from an adult patient. These GBM cells have cancer stem cell phenotypes, as they have self-renewal properties and tumor initiation potential when transplanted in immunocompromised mice. ATAC-seq was performed on cells over-expressing the epigenetic regulator and control cells expressing EGFP. ATAC-Seq on glioblastoma cells that over-express EGFP or an epigenetic regulator.",Homo sapiens,,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-GEOD-67633,2,0,1,,no_majority_requires_adjudication,,
EPI02,ATAC-seq glioblastoma tumor,epigenomics,disease=glioblastoma; assay=ATAC-seq,6e08473f1b69cde0,PRJNA1139791,project,Genomics,SUV39H1 Maintains Cancer Stem Cells in Glioblastoma [ATAC-seq],SUV39H1 Maintains Cancer Stem Cells in Glioblastoma [ATAC-seq],,,,,https://www.omicsdi.org/dataset/project/PRJNA1139791,2,0,1,,no_majority_requires_adjudication,,
EPI02,ATAC-seq glioblastoma tumor,epigenomics,disease=glioblastoma; assay=ATAC-seq,76e5c7f1cd2ece89,PRJNA573085,project,Genomics,Endocan-PDGFRα mediated signaling drives glioblastoma spatial heterogeneity and influences tumor vasculature/radioresistance [ATAC-seq],Endocan-PDGFRα mediated signaling drives glioblastoma spatial heterogeneity and influences tumor vasculature/radioresistance [ATAC-seq],,,,,https://www.omicsdi.org/dataset/project/PRJNA573085,2,0,1,,no_majority_requires_adjudication,,
EPI02,ATAC-seq glioblastoma tumor,epigenomics,disease=glioblastoma; assay=ATAC-seq,8509ca1170522f66,PRJNA484396,project,Genomics,N6-methyladenine DNA Modification in Glioblastoma [ATAC-seq],N6-methyladenine DNA Modification in Glioblastoma [ATAC-seq],,,,,https://www.omicsdi.org/dataset/project/PRJNA484396,2,0,1,,no_majority_requires_adjudication,,
EPI02,ATAC-seq glioblastoma tumor,epigenomics,disease=glioblastoma; assay=ATAC-seq,947102b5f821c680,PRJNA871900,project,Genomics,"ATAC-seq profiles of glioblastoma stem cells (GSCs), Non-stem tumor cells (NSTCs) and neural progenitor cell (NPC).","ATAC-seq profiles of glioblastoma stem cells (GSCs), Non-stem tumor cells (NSTCs) and neural progenitor cell (NPC).",,,,,https://www.omicsdi.org/dataset/project/PRJNA871900,2,0,1,,no_majority_requires_adjudication,,
EPI03,DNA methylation lupus T cells,epigenomics,disease=lupus; cell=T cell; assay=DNA methylation,0f104aae68cca983,E-GEOD-27895,biostudies-arrayexpress,Transcriptomics,Global DNA methylation profiling of CD4+ T cells from patients with systemic lupus erythematosus,"Systemic lupus erythematosus (SLE) is a chronic-relapsing autoimmune disease of incompletely understood etiology. Recent evidence strongly supports an epigenetic contribution to the pathogenesis of lupus. To understand the extent and nature of dysregulated DNA methylation in lupus T cells, we performed a genome-wide DNA methylation study in CD4+ T cells from 12 lupus patients and 12 normal healthy controls. Cytosine methylation was quantified in 27,578 CG pairs located within the promoter regions of 14,495 genes.  We identified 236 hypomethylated and 105 hypermethylated CG sites in lupus CD4+ T cells compared to normal controls, consistent with a global hypomethylation in lupus T cells. Further analysis identified hypomethylation in genes involved in connective tissue development including CD9, MMP9, and PDGFRA. Hypermethylated genes highlight “response to nutrients” ontology such as folate biosynthesis, suggesting a link between environmental factor and lupus and emphasizing the role of folate in DNA methylation.  In addition, the transcription factor RUNX3 was hypermethylated in lupus CD4+ T cells. Protein-protein interaction maps identified a transcription factor, HNF4a, as a regulatory hub affecting a number of differentially methylated genes. Functional annotations such as apoptosis is also overrepresented. Further, our data indicate that the methylation status of certain genes predicts disease activity in lupus patients. This work provides a foundation to begin identifying novel pathogenic pathways in lupus T cells and developing novel epigenetic biomarkers for disease activity in lupus. We employed microarray-based technologies to perform a genome-wide DNA methylation assay and quantify CD4+ T cell DNA methylation levels at 27,578 CG sites spanning 14,495 genes of 11 lupus patients and 12 healthy controls.",Homo sapiens,,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-GEOD-27895,2,0,1,,no_majority_requires_adjudication,,
EPI03,DNA methylation lupus T cells,epigenomics,disease=lupus; cell=T cell; assay=DNA methylation,173eeb58dd5d1bac,GSE102421,geo,epigenomics,DNA Methylation-dependent regulation of Cathepsin E gene expression by the transcription factor Kaiso in MRL/lpr mice.,"Global DNA hypomethylation in CD4+ cells in SLE patients was suggested to play a key role in the pathogenesis. To identify new methylation-sensitive genes, we integrated genome-wide DNA methylation and mRNA profiling in CD4+ cells of MRL/lpr (MRL) and C57BL6/J (B6) mice. We identified Ctse, in which 13 methyl-CpGs within 583 bp region of intron 1 were hypomethylated, and mRNA upregulated in MRL compared with B6 mice. One of methyl-CpGs, mCGCG was hypomethylated and mutated to CGGG in MRL mice. K...",Mus musculus,4,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102421,2,0,1,,no_majority_requires_adjudication,,
EPI03,DNA methylation lupus T cells,epigenomics,disease=lupus; cell=T cell; assay=DNA methylation,324fa07e0416d26c,E-GEOD-59250,biostudies-arrayexpress,Transcriptomics,DNA Methylation Analysis of Systemic Lupus Erythematosus,"This study performed Illumina Methylation450 analysis of CD4+ T-cells, CD19+ B-cells and CD14+ Monocytes from lupus patients and controls.  A validation cohort was further analyzed with the same platform using CD4+ T-cells, CD45RO-CD45RA+ naive T-cells, CD45RO+CD45RA- memory T-cells, and CD25+CD127- regulatory T-cells. SLE v Control comparisions were made within each cell type.  The SLE patient samples are labeled SLEnnnn and the controls Xnnnn.  The cell type CD4, CD14, CD19, Tmem, Treg, Tnaive is appended to each sample ID.",Homo sapiens,,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-GEOD-59250,2,0,1,,no_majority_requires_adjudication,,
EPI03,DNA methylation lupus T cells,epigenomics,disease=lupus; cell=T cell; assay=DNA methylation,64c540b986dcb9e3,E-GEOD-21220,biostudies-arrayexpress,Transcriptomics,miRNAs expression in the splenic CD4+ T cells and B cells isolated from MRL/lpr mice at 5 and 16 weeks of age,"To identify any differentially expressed miRNAs in the CD4+ T cells of lupus. MicroRNAs (miRNAs) have been implicated as fine-tuning  regulators controlling diverse biological processes at the level of posttranscriptional repression. Dysregulation of miRNAs has been described in various disease states, including human lupus.  By using high-throughput microRNA profiling analysis, we identified that two miRNAs (miR-21 and miR-148a) overexpressed in CD4+ T cells from both lupus patients and lupus-prone MRL/lpr mice,which promote cell hypomethylation by repressing DNA methyltransferase 1 (DNMT1) expression. We isolated the splenic CD4+ T cells and B cells  from MRL/lpr mice at 5 and 16 weeks of age.Cells were collected and total RNA was extracted for the TaqMan® Low Density Assay v2.0 Normalization was performed with snoRNA202, reference snRNAs for mouse.Comparative real-time PCR was performed in triplicate, including no-template.controls. Relative expression was calculated with the comparative cycle threshold method.",Mus musculus,,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-GEOD-21220,2,0,1,,no_majority_requires_adjudication,,
EPI03,DNA methylation lupus T cells,epigenomics,disease=lupus; cell=T cell; assay=DNA methylation,91af7aa8f0aaa253,E-GEOD-65097,biostudies-arrayexpress,Transcriptomics,Epigenome profiling reveals significant DNA demethylation of interferon signature genes in lupus neutrophils,"We identified genome-wide DNA methylation patterns within neutrophils and low-density granulocytes of Lupus patients and demographically matched controls Comparison of 15 Lupus patients vs 15 age-, sex-, and ethnicity-matched controls using the Illumina HumanMethylation 450 beadchip array",Homo sapiens,,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-GEOD-65097,2,0,1,,no_majority_requires_adjudication,,
EPI03,DNA methylation lupus T cells,epigenomics,disease=lupus; cell=T cell; assay=DNA methylation,a169eb6cce2573a4,E-ERAD-179,biostudies-arrayexpress,Genomics,Sequencing component for the whole genome methylation analysis in PBMCs and cell subsets  pilot study,"DNA methylation has been shown to play a major role in determining cellular phenotype by regulating gene expression. Moreover, dysregulation of differentially methylated genes has been implicated in disease pathogenesis of various conditions including cancer development as well as autoimmune diseases such as systemic Lupus erythematosus and rheumatoid arthritis. Evidence is rapidly accumulating for a role of DNA methylation in regulating immune responses in health and disease. However, the exact mechanisms remain unknown. The overall aim of the project is to investigate the role of epigenetic mechanisms in regulating immunity and their impact on autoimmune disease pathogenesis.The aim of this pilot study is to perform whole genome methylation analysis in peripheral blood mononuclear cells (PBMCs) and cell subsets (CD4, CD8, CD14, CD19, CD16 and whole PBMCs) obtained from 6 healthy volunteers. Whole genome methylation analysis will be performed using two methodological approaches, the Infinium Methylation Bead Array K450 (Illumina) and MeDIP-seq. mRNA expression arrays will also be performed in order to correlate DNA methylation with gene expression as well as genotyping on the Illumina OmniExpress chip",Homo sapiens,,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-ERAD-179,2,0,1,,no_majority_requires_adjudication,,
EPI03,DNA methylation lupus T cells,epigenomics,disease=lupus; cell=T cell; assay=DNA methylation,c94f94b744b573ed,E-GEOD-19033,biostudies-arrayexpress,Transcriptomics,Changes in the Pattern of DNA Methylation Associate with Twin Discordance in SLE,"This is the first high-throughput analysis of DNA methylation in autoimmune diseases. We have used a cohort of MZ twins discordant for three diseases whose clinical signs often overlap: systemic lupus erythematosus (SLE), rheumatoid arthritis and dermatomyositis. Only MZ twins discordant for SLE featured widespread changes in the DNA methylation status of a significant number of genes. Individual analysis confirmed the existence of DNA methylation and expression changes in genes relevant to SLE pathogenesis. Our findings not only identify potentially relevant DNA methylation markers for the clinical characterization of SLE patients but also support the notion that epigenetic changes may be critical in the clinical manifestations of autoimmune disease. Total DNA isolated by standard procedures from 59 White Blood Cell (WBC) samples corresponding to monozygotic twins discordant for three different autoimmune diseases: systemic lupus erythematosus (SLE), rheumatoid arthritis (RA) and dermatomyositis (DM) and two additional controls for each MZ twin pair.",Homo sapiens,,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-GEOD-19033,2,0,1,,no_majority_requires_adjudication,,
EPI04,placenta preeclampsia methylation array,epigenomics,disease=preeclampsia; tissue=placenta; assay=methylation array,58cf8523595bea88,E-GEOD-73374,biostudies-arrayexpress,Transcriptomics,Epigenetics and Preeclampsia: Defining Functional Epimutations in the Preeclamptic Placenta Related to the TGF-β Pathway [gene expression],"Placental Tissue Samples from 36 women (17 normotensive women, denoted with a P, and 19 preeclamptic women, denoted with a Q) were analyzed for differenital methylation Preeclamptic womene were compared direclty to normotensive women controlling for gestational age, race, maternal age, and baby sex 36 samples were analyzed: 17 normotensive, 19 preeclamptic",Homo sapiens,,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-GEOD-73374,2,0,1,,no_majority_requires_adjudication,,
EPI04,placenta preeclampsia methylation array,epigenomics,disease=preeclampsia; tissue=placenta; assay=methylation array,769c3375af639249,E-GEOD-41331,biostudies-arrayexpress,Transcriptomics,Cultured Cyto and Syncytio-trophoblast samples exposed to varying degrees of hypoxia (expression),"The mechanisms by which the placenta adapts to exogenous stimuli to create a stable and healthy environment for the growing fetus are not well known. Low oxygen tension and sub-optimal vitamin D levels influence placental function and both are associated with preeclampsia, a condition associated with altered development of placental trophoblast. We hypothesized that oxygen tension, vitamin D levels, or both affect villous trophoblast by modulation of gene expression through DNA methylation. To test this we used the Illumina Infinium Human Methylation 450 BeadChip array to compare the DNA methylation profile of primary cultures of human cytotrophoblasts and syncytiotrophoblasts under three oxygen tensions and three vitamin D levels. We found no effect on global DNA methylation by either treatment, but a limited set of loci became hypermethylated in cytotrophoblasts exposed for 24 hours to 1% oxygen, as compared to the same cells exposed to 8% or 20% oxygen. Vitamin D levels had no detectable effect on methylation profiles in either trophoblast type. Hypermethylation with low oxygen tension was independently confirmed by bisulfite-pyrosequencing in a subset of functionally important genes including CP, ITGA5, SOD2, XDH and ZNF2. Intriguingly, 70 out of the 147 hypoxia-associated CpGs, overlapped with CpG sites that become hypomethylated upon differentiation of cytotrophoblasts into syncytiotrophoblasts. Furthermore, the preponderance of altered sites was located at AP-1 binding sites. We suggest that AP-1 expression is triggered by hypoxia and interacts with DNA methyltransferases (DNMTs) to target methylation at specific sites in the genome, thus causing suppression of the associated genes that are responsible for differentiation of villous cytotrophoblast to syncytiotrophoblast. RNA from cytotrophoblast from 2 placentas exposed to 3 different conditions of hypoxia (1%,8%,20%) and treated with 3 levels of vitamin D were run on the Illumina HT-12v4 Expression Array",Homo sapiens,,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-GEOD-41331,2,0,1,,no_majority_requires_adjudication,,
EPI04,placenta preeclampsia methylation array,epigenomics,disease=preeclampsia; tissue=placenta; assay=methylation array,aebece4a1dfdea91,E-GEOD-41336,biostudies-arrayexpress,Transcriptomics,Cultured Cyto and Syncytio-trophoblast samples exposed to varying degrees of hypoxia (methylation),"The mechanisms by which the placenta adapts to exogenous stimuli to create a stable and healthy environment for the growing fetus are not well known. Low oxygen tension and sub-optimal vitamin D levels influence placental function and both are associated with preeclampsia, a condition associated with altered development of placental trophoblast. We hypothesized that oxygen tension, vitamin D levels, or both affect villous trophoblast by modulation of gene expression through DNA methylation. To test this we used the Illumina Infinium Human Methylation 450 BeadChip array to compare the DNA methylation profile of primary cultures of human cytotrophoblasts and syncytiotrophoblasts under three oxygen tensions and three vitamin D levels. We found no effect on global DNA methylation by either treatment, but a limited set of loci became hypermethylated in cytotrophoblasts exposed for 24 hours to 1% oxygen, as compared to the same cells exposed to 8% or 20% oxygen. Vitamin D levels had no detectable effect on methylation profiles in either trophoblast type. Hypermethylation with low oxygen tension was independently confirmed by bisulfite-pyrosequencing in a subset of functionally important genes including CP, ITGA5, SOD2, XDH and ZNF2. Intriguingly, 70 out of the 147 hypoxia-associated CpGs, overlapped with CpG sites that become hypomethylated upon differentiation of cytotrophoblasts into syncytiotrophoblasts. Furthermore, the preponderance of altered sites was located at AP-1 binding sites. We suggest that AP-1 expression is triggered by hypoxia and interacts with DNA methyltransferases (DNMTs) to target methylation at specific sites in the genome, thus causing suppression of the associated genes that are responsible for differentiation of villous cytotrophoblast to syncytiotrophoblast. DNA from 2 cell types from 5 placentas exposed to 3 different conditions of hypoxia (1%,8%,20%) and treated with 3 levels of vitamin D were bisulfite converted and run on the Illumina HumanM",Homo sapiens,,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-GEOD-41336,2,0,1,,no_majority_requires_adjudication,,
EPI04,placenta preeclampsia methylation array,epigenomics,disease=preeclampsia; tissue=placenta; assay=methylation array,b160f5fbefda1ea7,E-GEOD-57767,biostudies-arrayexpress,Transcriptomics,Epigenome analysis of normal and preeclamptic placenta samples,"Preeclampsia (PE), a hypertensive disorder of pregnancy, is hypothesized to be associated with, if not mechanistically related to abnormal placental function. However, the exact mechanisms regulating the pathogenesis of PE remain unclear. While many studies have investigated changes in gene expression in the PE placenta, the role of epigenetics in PE associated placental dysfunction remains unclear.  Using the genome-wide Illumina Infinium Methylation 450 BeadChip array, we analyzed gene-specific alterations in DNA methylation in placental biopsies collected from normal pregnant women delivering at term (n=14), with term PE (≥37 weeks; n=19) or with preterm PE (<37 weeks, n=12).  Of the 485,582 gene loci on the array, compared to controls, 229 loci were differentially methylated in PE placentas and 3411 loci were differentially methylated in preterm PE (step up p-value <0.05 and >5% methylation difference). Functional annotation of the differentially methylated genes in preterm PE placentas revealed a 32 gene cluster in the cadherin and cell adhesion functional groups (Benjamini p<0.00001). Hypermethylation of CDH11 (p=0.0143), COL5A1 (p=0.0127) and TNF (p=0.0098) and hypomethylation of NCAM1 (p=0.0158) was associated with altered mRNA expression in preterm PE placentas. These studies demonstrate aberrant methylation, correlating with disease severity, in PE placentas. Bisulphite converted DNA from the 45 samples were hybridised to the Illumina Infinium 450k Human Methylation Beadchip v1.2",Homo sapiens,,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-GEOD-57767,2,0,1,,no_majority_requires_adjudication,,
EPI04,placenta preeclampsia methylation array,epigenomics,disease=preeclampsia; tissue=placenta; assay=methylation array,dc26ad07f04d8df7,GSE44712,geo,epigenomics,Early-Onset Preeclampsia Placentas and Controls,This SuperSeries is composed of the SubSeries listed below.,Homo sapiens,56,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE44712,0,2,1,,no_majority_requires_adjudication,,
EPI05,colon cancer chromatin accessibility,epigenomics,disease=colon cancer; assay=ATAC-seq,2854a043d2f91a9a,GSE278871,geo,transcriptomics,HMGA1 acts as an epigenetic gatekeeper of ASCL2 and Wnt signaling during colon tumorigenesis,"Mutated cells undergo changes in chromatin accessibility and gene expression, resulting in aberrant proliferation and differentiation, although how this occurs is unclear. HMGA1 chromatin regulators are abundant in stem cells and oncogenic in diverse tissues; however, their role in colon tumorigenesis is only beginning to emerge. Here, we uncover a previously unknown epigenetic program whereby HMGA1 amplifies Wnt signaling during colon tumorigenesis driven by inflammatory microbiota and/or Adeno...",Mus musculus,6,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE278871,2,0,1,,no_majority_requires_adjudication,,
EPI05,colon cancer chromatin accessibility,epigenomics,disease=colon cancer; assay=ATAC-seq,330d35aff104c2be,GSE333943,geo,transcriptomics,The effect of Intestinal epithelial GSK3B loss on chromatin accessibility in the AOM/DSS-induced colon cancer model,"This study focuses on the epigenomics and transcriptomic changes driven by the GSK3B gene in colon cancer, offering valuable insights into tumor biology and its progression. Gaining a deeper understanding of these processes may contribute to developing more effective therapeutic strategies and enhance prognostic outcomes.",Mus musculus,4,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE333943,2,0,1,,no_majority_requires_adjudication,,
EPI05,colon cancer chromatin accessibility,epigenomics,disease=colon cancer; assay=ATAC-seq,50dcbc840c618d4a,PRJNA1473260,project,Genomics,The effect of Intestinal epithelial GSK3B loss on chromatin accessibility in the AOM/DSS-induced colon cancer model,The effect of Intestinal epithelial GSK3B loss on chromatin accessibility in the AOM/DSS-induced colon cancer model,,,,,https://www.omicsdi.org/dataset/project/PRJNA1473260,2,0,1,,no_majority_requires_adjudication,,
EPI05,colon cancer chromatin accessibility,epigenomics,disease=colon cancer; assay=ATAC-seq,5268d9ecdcdd8e50,GSE161909,geo,transcriptomics,Chromatin accessibility in MC38/gp100 cells after type I PRMT inhibitor treatment,"Immunotherapies have produced dramatic responses in reducing tumor growth and prolonging overall survival to unprecedented rates in melanoma, lung cancer, renal cancer and mismatch repair deficient colon cancer patients. Despite approvals for immune checkpoint inhibitors in a wide range of cancers, the majority of patients’ relapse following initial response to immunotherapy or fail to respond altogether. These failures can be attributed to an insufficient immune response against tumors and/or m...",Mus musculus,4,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE161909,2,0,1,,no_majority_requires_adjudication,,
EPI05,colon cancer chromatin accessibility,epigenomics,disease=colon cancer; assay=ATAC-seq,59699a9bac69e304,GSE246046,geo,transcriptomics,Chromatin accessibility and transcriptomic responses to HDAC inhibitors in TP53 mutated patient-derived colon cancer organoids,This SuperSeries is composed of the SubSeries listed below.,Homo sapiens,30,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246046,2,0,1,,no_majority_requires_adjudication,,
EPI05,colon cancer chromatin accessibility,epigenomics,disease=colon cancer; assay=ATAC-seq,674f20c59955bebc,PRJNA1031173,project,Genomics,Chromatin accessibility and transcriptomic responses to HDAC inhibitors in TP53 mutated patient-derived colon cancer organoids [RNA-seq],Chromatin accessibility and transcriptomic responses to HDAC inhibitors in TP53 mutated patient-derived colon cancer organoids [RNA-seq],,,,,https://www.omicsdi.org/dataset/project/PRJNA1031173,2,0,1,,no_majority_requires_adjudication,,
EPI05,colon cancer chromatin accessibility,epigenomics,disease=colon cancer; assay=ATAC-seq,7668d6cb2b7d273f,E-MTAB-10593,biostudies-arrayexpress,Transcriptomics,ATAC-Seq analysis of MC38 colon carcinoma cells and MC38 Bap1-knockout cells,Genome-wide measurements of chromatin accessibility in MC38 colon carcinoma cells and MC38 Bap1-knockout cells.,Mus musculus,,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-MTAB-10593,2,0,1,,no_majority_requires_adjudication,,
EPI05,colon cancer chromatin accessibility,epigenomics,disease=colon cancer; assay=ATAC-seq,8c7aee3a08205ee2,PRJNA789176,project,Genomics,Integrated chromatin accessibility and transcriptome landscapes of 5-Fluorouracil-resistant colon cancer cells,Integrated chromatin accessibility and transcriptome landscapes of 5-Fluorouracil-resistant colon cancer cells,,,,,https://www.omicsdi.org/dataset/project/PRJNA789176,2,0,1,,no_majority_requires_adjudication,,
EPI05,colon cancer chromatin accessibility,epigenomics,disease=colon cancer; assay=ATAC-seq,b0f55fa279cf3e2b,GSE246045,geo,transcriptomics,Chromatin accessibility and transcriptomic responses to HDAC inhibitors in TP53 mutated patient-derived colon cancer organoids [RNA-seq],"Here we present the generation and characterization of patient-derived organoids (PDOs) from colorectal cancer patients. Two PDOs derived from patients with TP53 mutations were tested with two different HDACIs (SAHA and NKL54). Induction of cell death, transcriptome, and chromatin accessibility changes were analyzed. HDACIs promote the upregulation of low expressed genes and suppress the expression of highly expressed genes. A similar differential effect is also observed at the level of chromati...",Homo sapiens,18,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246045,2,0,1,,no_majority_requires_adjudication,,
