query_id,query,rank,dataset_id,accession,source,title,source_url,annotator_A_label,annotator_B_label,adjudicated_label,adjudication_notes
E17,ChIP-seq H3K27ac human stem cells,9,geo:GSE308655,GSE308655,geo,Gcm1 ChIP-seq of C57BL/6 mouse embryonic stem cells with folate deficiency,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE308655,1,0,0,"Mouse Gcm1 ChIP-seq, not human H3K27ac."
E17,ChIP-seq H3K27ac human stem cells,10,geo:GSE292287,GSE292287,geo,H3K79 methylation and H3K36 trimethylation synergistically regulate gene expression in pluripotent stem cells [ChIP-Seq],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292287,1,0,0,Histone ChIP-seq in stem cells but wrong marks and not clearly human.
E18,DNA methylation glioblastoma,6,geo:GSE195567,GSE195567,geo,DNA methylation array analysis of high-grade gliomas with pleomorphic and pseudopapillary features,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE195567,2,1,2,DNA methylation profiling of high-grade glioma/glioblastoma-related tumors.
E20,WGS rare genetic diseases,2,ena:PRJNA532328,PRJNA532328,ena,Discovery of novel associations between known and unknown pathogenic genetic mutations and rare diseases: A Collage of Case Reports,https://www.ebi.ac.uk/ena/browser/view/PRJNA532328,2,1,1,"Rare disease genetics dataset, but WGS is not explicit."
E20,WGS rare genetic diseases,3,ena:PRJEB68332,PRJEB68332,ena,Exploring the genetics of MIS-C and African ancestry using WGS,https://www.ebi.ac.uk/ena/browser/view/PRJEB68332,1,2,1,"WGS rare-variant study, but MIS-C is not a classic rare genetic disease query match."
E20,WGS rare genetic diseases,5,ena:PRJEB36029,PRJEB36029,ena,Canine whole-genome sequences (WGS) that we have generated by the Canine Genetics Centre (CGC).,https://www.ebi.ac.uk/ena/browser/view/PRJEB36029,0,1,0,Canine WGS resource without rare genetic disease context.
E20,WGS rare genetic diseases,6,ena:PRJNA708138,PRJNA708138,ena,Identification of genetic defects in families segregating rare inherited diseases using next generation genomic tools,https://www.ebi.ac.uk/ena/browser/view/PRJNA708138,2,1,1,"Rare inherited disease exome sequencing, not WGS."
E20,WGS rare genetic diseases,7,ena:PRJEB13723,PRJEB13723,ena,"Molecular characterization of three canine models of human rare bone diseases: Caffey, van den Ende-Gupta, and Raine syndromes",https://www.ebi.ac.uk/ena/browser/view/PRJEB13723,2,1,1,"Rare disease model genetics but canine, not direct human WGS."
E20,WGS rare genetic diseases,8,ena:PRJNA1333793,PRJNA1333793,ena,Diagnostic Yield and Genetic Landscape of Rare Pediatric Diseases in Vietnam Identified by Exome Sequencing,https://www.ebi.ac.uk/ena/browser/view/PRJNA1333793,2,1,1,"Rare pediatric disease exome sequencing, not WGS."
E20,WGS rare genetic diseases,9,ena:PRJNA702801,PRJNA702801,ena,Identification of genetic causes of rare diseases in Quebec (PRISMES project),https://www.ebi.ac.uk/ena/browser/view/PRJNA702801,0,1,1,"Rare disease genetic-cause project, but omics type/WGS metadata is unclear."
E21,whole exome sequencing autism,4,ena:PRJNA1469519,PRJNA1469519,ena,Integrated analysis of whole-exome sequencing and transcriptome profiling in males with autism spectrum disorders,https://www.ebi.ac.uk/ena/browser/view/PRJNA1469519,2,1,2,Whole-exome sequencing in autism with transcriptome profiling.
E21,whole exome sequencing autism,5,geo:GSE332947,GSE332947,geo,Integrated analysis of whole-exome sequencing and transcriptome profiling in males with autism spectrum disorders,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE332947,2,1,2,Autism WES/transcriptome study; direct query match.
E22,cancer genomics TCGA lung adenocarcinoma,2,ena:PRJDB20076,PRJDB20076,ena,Human lung cancer cell lines (CBX100),https://www.ebi.ac.uk/ena/browser/view/PRJDB20076,2,1,1,"Human lung cancer cell-line molecular profiling, but not TCGA LUAD genomics."
E22,cancer genomics TCGA lung adenocarcinoma,3,ena:PRJNA301991,PRJNA301991,ena,Copy number variations distinguish lung adenocarcinomas from squamous cell carcinomas,https://www.ebi.ac.uk/ena/browser/view/PRJNA301991,2,1,2,Genomic copy-number analysis of lung adenocarcinoma using TCGA-related data.
E22,cancer genomics TCGA lung adenocarcinoma,7,ena:PRJNA121179,PRJNA121179,ena,Gene expression analysis of human lung cancer and control samples,https://www.ebi.ac.uk/ena/browser/view/PRJNA121179,2,1,1,Human lung cancer expression dataset; not TCGA LUAD genomics-specific.
E22,cancer genomics TCGA lung adenocarcinoma,8,ena:PRJEB40655,PRJEB40655,ena,Targeted DNA sequencing of the lung SWI/SNF complex and cancer drivers in lung adenocarcinoma cell lines,https://www.ebi.ac.uk/ena/browser/view/PRJEB40655,2,1,1,"Targeted DNA sequencing in LUAD cell lines, but not TCGA."
E22,cancer genomics TCGA lung adenocarcinoma,10,ena:PRJDB1928,PRJDB1928,ena,Omics catalogue of lung adenocarcinoma cell lines,https://www.ebi.ac.uk/ena/browser/view/PRJDB1928,2,1,1,"Multi-omics LUAD cell lines including WGS, but not TCGA-specific."
E23,ENA SARS-CoV-2 sequencing datasets,1,ena:PRJNA713860,PRJNA713860,ena,SARS-CoV-2 Sequencing at Shenandoah University,https://www.ebi.ac.uk/ena/browser/view/PRJNA713860,1,2,2,SARS-CoV-2 sequencing dataset in ENA.
E24,gut microbiome IBD metagenomics,4,ena:PRJEB81106,PRJEB81106,ena,"Simultaneous metagenome-informed metaproteomics of the human gut microbiome, host and dietary exposome uncover functional interactomes in health & IBD",https://www.ebi.ac.uk/ena/browser/view/PRJEB81106,2,1,1,"Gut microbiome and IBD study, but metagenome-informed metaproteomics rather than direct metagenomics."
E25,soil microbiome shotgun metagenomics,2,ena:PRJEB58067,PRJEB58067,ena,Metagenomics approach for taxonomic classification and identification of biosynthetic gene-clusters from soil microbiome.,https://www.ebi.ac.uk/ena/browser/view/PRJEB58067,2,1,2,Soil microbiome metagenomics dataset.
E26,marine microbiome metagenomics,6,mgnify:MGYS00004664,MGYS00004664,mgnify,marine metagenome Raw sequence reads,https://www.ebi.ac.uk/metagenomics/studies/MGYS00004664,2,1,1,"Marine microbiome sequencing, but 16S rather than shotgun metagenomics."
E27,wastewater metatranscriptomics microbiome,4,ena:PRJDB17922,PRJDB17922,ena,Metatranscriptomics of microaerophilic activated sludge for retaining ammonia from high-strength nitrogenous wastewater,https://www.ebi.ac.uk/ena/browser/view/PRJDB17922,2,1,2,Wastewater microbiome metagenomics/metatranscriptomics dataset.
E27,wastewater metatranscriptomics microbiome,7,ena:PRJNA1243540,PRJNA1243540,ena,Unveiling Metabolic Insights and Niche Differentiation of Microbial Communities in EBPR-Anammox Reactor through Integration of Long-Read Metagenomics and Metatranscriptomics,https://www.ebi.ac.uk/ena/browser/view/PRJNA1243540,2,1,2,Wastewater reactor metagenomics/metatranscriptomics dataset.
E27,wastewater metatranscriptomics microbiome,8,ena:PRJNA1145323,PRJNA1145323,ena,Characterizacion of the anode microbiome of a microbial fuel cell treating real wastewater,https://www.ebi.ac.uk/ena/browser/view/PRJNA1145323,2,1,2,Wastewater microbiome dataset including metatranscriptomics.
E27,wastewater metatranscriptomics microbiome,9,ena:PRJNA1099306,PRJNA1099306,ena,Fate and Transport of Antimicrobial Resistance Genes in Algal-bacterial Wastewater Treatment Systems,https://www.ebi.ac.uk/ena/browser/view/PRJNA1099306,2,1,1,"Wastewater microbiome metagenomics/Hi-C data, but not metatranscriptomics."
E28,multi-omics lung cancer,8,geo:GSE103404,GSE103404,geo,Distinct cancer-promoting stromal gene expression depending on lung function,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE103404,2,1,2,Multi-omics lung cancer-related dataset.
E28,multi-omics lung cancer,10,geo:GSE330548,GSE330548,geo,Multi-Omics Integration Identifies Critical Molecular Drivers and Alternative Splicing Events in Small Cell Lung Cancer II,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE330548,2,1,2,Multi-omics lung cancer dataset; direct despite inconsistent organism metadata.
E30,multi-omics Alzheimer's proteogenomics,7,cptac:PDC000515,PDC000515,cptac,KNCC Glioblastoma Evolution - Phosphoproteome,https://pdc.cancer.gov/pdc/study/PDC000515,0,1,0,"Brain proteomics/phosphoproteomics but glioblastoma, not Alzheimer proteogenomics."
E30,multi-omics Alzheimer's proteogenomics,9,cptac:PDC000514,PDC000514,cptac,KNCC Glioblastoma Evolution - Proteome,https://pdc.cancer.gov/pdc/study/PDC000514,0,1,0,"Brain proteomics but glioblastoma, not Alzheimer proteogenomics."
